5-13-2008	21.9
5-14-2008	20.8
5-15-2008	21.3
5-16-2008	20.9
5-17-2008	42.9
5-18-2008	205
5-19-2008	122
5-20-2008	88.4
5-21-2008	74.4
5-22-2008	97.9
5-23-2008	112
5-24-2008	93.8
5-25-2008	177
5-26-2008	263
5-27-2008	271
5-28-2008	237
5-29-2008	273
5-30-2008	200
5-31-2008	145
06-01-2008	120
06-02-2008	140
06-03-2008	96.1
06-04-2008	74.6
06-05-2008	102
06-06-2008	130
06-07-2008	133
06-08-2008	158
06-09-2008	171
06-10-2008	130
06-11-2008	87.9
06-12-2008	81
6-13-2008	76.4
6-14-2008	73.1
6-15-2008	44.9
6-16-2008	48.3
6-17-2008	48.6
6-18-2008	62.1
6-19-2008	47.3
6-20-2008	56.7
6-21-2008	65.4
6-22-2008	76.4
6-23-2008	73.3
6-24-2008	59.7
6-25-2008	61.4
6-26-2008	62.2
6-27-2008	62.9
6-28-2008	64.1
6-29-2008	67.4
6-30-2008	74.3
07-01-2008	50.2
07-02-2008	43.1
07-03-2008	57
07-04-2008	41.9
07-05-2008	41.6
07-06-2008	42
07-07-2008	39.1
07-08-2008	38.3
07-09-2008	38.5
07-10-2008	38.1
07-11-2008	38.4
07-12-2008	38.4
7-13-2008	39.1
7-14-2008	37.6
7-15-2008	37.8
7-16-2008	38.2
7-17-2008	38.4
7-18-2008	38.7
7-19-2008	38.3
7-20-2008	38.6
7-21-2008	44.1
7-22-2008	34.9
7-23-2008	48.4
7-24-2008	54.6
7-25-2008	51.7
7-26-2008	52.7
7-27-2008	58.1
7-28-2008	52.3
7-29-2008	53.3
7-30-2008	55.8
7-31-2008	49.1
08-01-2008	46.6
08-02-2008	45
08-03-2008	43.4
08-04-2008	42.6
08-05-2008	41.3
08-06-2008	40.1
08-07-2008	39.8
08-08-2008	38.2
08-09-2008	36.3
08-10-2008	35.3
08-11-2008	36.6
08-12-2008	38.9
8-13-2008	49.3
8-14-2008	39.4
8-15-2008	37.8
8-16-2008	36.4
8-17-2008	34.7
8-18-2008	32.2
8-19-2008	31.9
8-20-2008	31.6
8-21-2008	29.8
8-22-2008	30.6
8-23-2008	28.9
8-24-2008	27.6
8-25-2008	28.3
8-26-2008	33
8-27-2008	28.7
8-28-2008	27.8
8-29-2008	27.4
8-30-2008	26.2
8-31-2008	25.9
09-01-2008	26
09-02-2008	24.1
09-03-2008	22.1
09-04-2008	25
09-05-2008	23.9
09-06-2008	22.8
09-07-2008	22.8
09-08-2008	21.9
09-09-2008	21.8
09-10-2008	21.9
09-11-2008	22.5
09-12-2008	21.6
9-13-2008	21.3
9-14-2008	21.7
9-15-2008	21
9-16-2008	19.1
9-17-2008	17.1
9-18-2008	16.3
9-19-2008	17.1
9-20-2008	16.9
9-21-2008	17.3
9-22-2008	17
9-23-2008	16.9
9-24-2008	16.7
9-25-2008	16.8
9-26-2008	16.9
9-27-2008	16.7
9-28-2008	16.7
9-29-2008	16.9
9-30-2008	16.8
10-01-2008	17.6
10-02-2008	22.4
10-03-2008	16.8
10-04-2008	16.8
10-05-2008	16.7
10-06-2008	16.8
10-07-2008	16.4
10-08-2008	16.4
10-09-2008	16.9
10-10-2008	16.9
10-11-2008	16.8
10-12-2008	16.5
10-13-2008	18.5
10-14-2008	18.7
10-15-2008	16.5
10-16-2008	16.6
10-17-2008	16.3
10-18-2008	16.4
10-19-2008	16.2
10-20-2008	16
10-21-2008	17.2
10-22-2008	16
10-23-2008	16.6
10-24-2008	16
